date,ABC,ABMD,ADS,ALXN,ANTM,ATVI,BLL,CBS,CDAY,CERN,COG,CTL,CTLT,CTXS,CXO,DISCA,DISCK,DISH,DRE,ETFC,FB,FBHS,FISV,FLIR,FLT,FRC,GGP,GPS,HFC,HRS,KSU,MRO,MXIM,MYL,NBL,NLOK,NLSN,PBCT,PEAK,PKI,PXD,RE,RTN,SIVB,TIF,TSS,TWTR,VAR,VIAC,WLTW,WRK,XEC,XLNX
2019-02-05,,,176.1392364501953,122.87000274658205,298.0150756835937,47.14867401123047,52.33635330200195,24.03759384155273,43.54999923706055,54.69415664672852,24.76000022888184,12.82357120513916,39.22999954223633,104.01107025146484,118.02999877929688,29.040000915527344,27.1299991607666,31.229999542236328,29.90999984741211,46.431758880615234,,,85.11000061035156,,,98.46062469482422,19.0,23.092681884765625,56.41999816894531,14.579999923706056,,15.9399995803833,52.4205207824707,31.07999992370605,,,,22.4704704284668,29.183942794799805,,140.40589904785156,53.07965850830078,29.730403900146484,,,3.289999961853028,34.369998931884766,132.92999267578125,,163.5792694091797,35.74427032470703,73.47705841064453,108.85494995117188
2019-02-06,,,174.55746459960938,121.02999877929688,305.68267822265625,42.37861633300781,52.543724060058594,23.955018997192383,46.040000915527344,55.54304504394531,24.13999938964844,12.621277809143066,39.47999954223633,103.54042053222656,117.2699966430664,29.1200008392334,27.299999237060547,31.350000381469727,29.649999618530277,46.21515655517578,,,84.61000061035156,,,98.89665222167967,18.9950008392334,22.60738945007324,56.47999954223633,14.329999923706056,,15.90999984741211,53.36084747314453,30.96999931335449,,,,22.08288955688477,28.96038055419922,,138.6457977294922,53.6639289855957,29.44949722290039,,,3.7820000648498535,34.15999984741211,132.75,,163.4319305419922,36.09929275512695,72.63192749023438,112.08194732666016
2019-02-07,,,157.39088439941406,118.79000091552734,302.4330139160156,43.324745178222656,52.59309387207031,23.84492492675781,43.43999862670898,54.88169860839844,23.71999931335449,12.418985366821287,39.52000045776367,103.0698013305664,112.75,28.63999938964844,26.799999237060547,31.06999969482422,30.040000915527344,45.91979217529297,,,84.01000213623047,,,99.74886322021484,18.979999542236328,22.8271427154541,54.7599983215332,14.380000114440918,,15.270000457763672,52.09758758544922,30.350000381469727,,,,21.88909721374512,29.2212028503418,,133.7566680908203,51.95073318481445,29.0870418548584,,,3.740000009536743,30.799999237060547,130.42999267578125,,159.90512084960938,35.40794372558594,69.51371765136719,110.57144165039062
2019-02-08,,,159.4578857421875,120.13999938964844,298.7023010253906,42.782691955566406,53.22509002685547,23.771528244018555,44.90999984741211,55.286399841308594,23.950000762939453,12.498144149780272,39.709999084472656,103.3737335205078,112.6500015258789,29.190000534057617,27.34000015258789,31.540000915527344,29.979999542236328,45.22075653076172,,,85.69999694824219,,,99.62003326416016,18.98500061035156,22.79967498779297,53.95000076293945,14.079999923706056,,15.130000114440918,51.974117279052734,30.46999931335449,,,,22.184398651123047,29.100107192993164,,132.70062255859375,52.18840026855469,28.923938751220703,,,3.799999952316284,30.01000022888184,131.36000061035156,,164.86624145507812,35.3238639831543,68.60060119628906,111.51305389404295
2019-02-11,,,160.2244873046875,120.0500030517578,296.6602783203125,39.53038024902344,53.17570877075195,24.028419494628903,45.130001068115234,56.75715255737305,24.40999984741211,12.410189628601074,40.0099983215332,102.99134826660156,116.41000366210938,28.63999938964844,26.850000381469727,31.149999618530277,29.71999931335449,45.6638069152832,,,84.55999755859375,,,99.49121856689452,18.950000762939453,22.74473571777344,54.959999084472656,13.75,,15.270000457763672,51.94562149047852,31.040000915527344,,,,22.11979866027832,28.96038055419922,,134.59759521484375,51.99034118652344,29.666976928710938,,,3.4049999713897705,30.229999542236328,131.08999633789062,,167.0275115966797,35.19306564331055,70.20341491699219,112.69989013671876
2019-02-12,,,164.0382080078125,124.26000213623048,300.8523864746094,41.067832946777344,54.21256637573242,24.20061683654785,45.459999084472656,58.06010055541992,24.709999084472656,12.797184944152832,40.84999847412109,103.383544921875,116.5,28.1299991607666,26.46999931335449,31.26000022888184,29.780000686645508,46.73697662353516,,,84.37999725341797,,,99.98668670654295,18.950000762939453,23.01943016052246,54.77000045776367,14.289999961853027,,15.449999809265137,52.83845520019531,31.739999771118164,,,,22.4243278503418,28.308326721191406,,138.25466918945312,54.06005096435547,30.17440795898437,,,3.799999952316284,30.38999938964844,132.86000061035156,,168.22604370117188,36.16468048095703,70.81539916992188,115.93669128417967
2019-02-13,,,164.3972625732422,125.18000030517578,300.1258850097656,43.92593002319336,54.50880813598633,24.20061683654785,45.36000061035156,56.19451522827149,24.59000015258789,12.92911434173584,41.130001068115234,102.9619369506836,119.51000213623048,28.31999969482422,26.71999931335449,28.86000061035156,29.690000534057617,46.54991149902344,,,84.38999938964844,,,99.49121856689452,18.90999984741211,22.99196434020996,56.16999816894531,14.270000457763672,,15.550000190734863,52.67697525024414,31.25,,,,22.4243278503418,28.6436710357666,,142.71356201171875,54.446266174316406,30.609352111816406,,,3.75,31.1200008392334,132.72000122070312,,167.96078491210938,36.56641006469727,72.1850814819336,115.1422119140625
2019-02-14,,,162.02947998046875,125.93000030517578,302.5508117675781,44.77350234985352,54.261940002441406,23.87483787536621,45.59999847412109,56.066200256347656,24.71999931335449,11.240412712097168,41.58000183105469,104.12871551513672,119.37000274658205,28.770000457763672,27.190000534057617,29.700000762939453,29.690000534057617,45.84103012084961,,,84.3499984741211,,,98.63899993896484,18.959999084472656,22.8179874420166,57.04999923706055,14.18000030517578,,16.90999984741211,52.990421295166016,31.520000457763672,,,,22.3135929107666,28.820655822753903,,139.90719604492188,54.88199234008789,30.011302947998047,,,3.75,30.959999084472656,131.77000427246094,,165.5342559814453,36.27811050415039,72.9056625366211,115.26971435546876
2019-02-15,,,168.0848388671875,129.4199981689453,305.89862060546875,43.95549774169922,53.45220565795898,24.005151748657227,45.7599983215332,57.16185760498047,25.229999542236328,12.084762573242188,42.02999877929688,104.4130630493164,122.97000122070312,29.299999237060547,27.649999618530277,30.899999618530277,29.780000686645508,46.72713088989258,,,85.77999877929688,,,100.71007537841795,18.959999084472656,22.9553337097168,57.88999938964844,13.9399995803833,,17.079999923706055,53.04740524291992,31.84000015258789,,,,22.32282066345215,29.0752067565918,,142.12686157226562,57.337921142578125,30.30126571655273,,,3.539999961853028,31.229999542236328,132.74000549316406,,166.5756072998047,36.91142272949219,73.99627685546875,117.0254364013672
2019-02-19,,,169.65689086914062,128.92999267578125,305.91827392578125,43.83723068237305,53.38308334350586,23.92137718200684,46.59000015258789,56.79663848876953,25.18000030517578,12.401394844055176,42.2400016784668,104.20716094970705,121.0,29.059999465942383,27.36000061035156,30.739999771118164,29.8799991607666,47.89875411987305,,,85.62000274658203,,,101.07672882080078,18.979999542236328,23.06521415710449,57.58000183105469,13.789999961853027,,17.030000686645508,52.73397064208984,32.099998474121094,,,,22.4704704284668,29.18833923339844,,142.3321990966797,56.902191162109375,30.346582412719727,,,3.680000066757202,31.649999618530277,131.7100067138672,,167.71519470214844,37.10991668701172,73.10041809082031,116.68214416503906
2019-02-20,,,168.89723205566406,129.83999633789062,307.24371337890625,42.16179656982422,53.71882629394531,23.92137718200684,47.52999877929688,57.02366638183594,24.950000762939453,12.225488662719728,42.790000915527344,103.31491088867188,112.4499969482422,29.09000015258789,27.420000076293945,31.26000022888184,29.920000076293945,47.69199752807617,,,84.7300033569336,,,102.2559585571289,19.0,23.037742614746094,56.09999847412109,14.5,,17.079999923706055,53.113895416259766,31.6200008392334,,,,22.332046508789062,29.06577682495117,,138.14710998535156,56.65461730957031,30.47343635559082,,,4.349999904632568,31.3700008392334,132.63999938964844,,168.06884765625,38.11186981201172,74.41499328613281,117.81012725830078
2019-02-21,,,166.58905029296875,127.5500030517578,305.623779296875,41.29451370239258,53.79782104492188,23.91206932067871,47.619998931884766,56.49064254760742,24.540000915527344,11.724156379699709,42.540000915527344,102.94231414794922,103.6999969482422,29.0,27.299999237060547,31.309999465942383,29.989999771118164,47.4852409362793,,,84.75,,,102.35506439208984,18.979999542236328,22.689796447753903,55.25,14.9399995803833,,16.68000030517578,52.48701095581055,31.059999465942383,,,,22.221309661865234,29.2354793548584,,133.13084411621094,55.119667053222656,30.419065475463867,,,3.619999885559082,30.76000022888184,131.7100067138672,,167.39100646972656,37.10991668701172,71.39632415771484,116.97640228271484
2019-02-22,,,169.52053833007812,129.72999572753906,311.013671875,40.90029144287109,54.56805419921875,23.92137718200684,48.400001525878906,56.98418045043945,24.26000022888184,11.820902824401855,43.58000183105469,103.13842010498048,106.04000091552734,29.209999084472656,27.51000022888184,32.81999969482422,30.09000015258789,48.13504409790039,,,85.02999877929688,,,102.73161315917967,18.979999542236328,22.671483993530277,55.52000045776367,14.739999771118164,,16.889999389648438,53.09490585327149,31.26000022888184,,,,22.239765167236328,29.46174049377441,,138.978271484375,56.67442321777344,30.410005569458008,,,3.400000095367432,31.709999084472656,133.02000427246094,,168.07867431640625,37.11936950683594,72.23375701904297,120.39957427978516
2019-02-25,,,169.74453735351562,133.1699981689453,308.6672668457031,41.35364532470703,54.19281768798828,23.93999290466309,48.70000076293945,56.25374603271485,24.88999938964844,11.583429336547852,43.41999816894531,103.4129638671875,108.81999969482422,29.209999084472656,27.56999969482422,31.950000762939453,30.06999969482422,47.99720764160156,,,84.23999786376953,,,102.7217025756836,18.989999771118164,23.010272979736328,54.720001220703125,14.8100004196167,,16.670000076293945,53.64579772949219,30.96999931335449,,,,22.248994827270508,29.03749656677246,,139.76051330566406,56.87247848510742,29.993179321289062,,,3.309999942779541,31.989999771118164,133.19000244140625,,168.4323272705078,37.497467041015625,71.78583526611328,121.66487884521484
2019-02-26,,,169.9977569580078,133.2899932861328,311.6321716308594,41.47191619873047,53.985443115234375,23.967918395996094,48.970001220703125,56.263614654541016,25.11000061035156,11.416319847106934,42.86000061035156,103.3737335205078,108.47000122070312,28.38999938964844,26.899999618530277,31.920000076293945,29.84000015258789,48.38118743896485,,,84.72000122070312,,,102.34513854980467,18.989999771118164,22.75389289855957,53.70000076293945,13.84000015258789,,16.520000457763672,52.82895278930664,30.6200008392334,,,,22.21208000183105,29.15062713623047,,139.5942840576172,56.2783088684082,29.83007431030273,,,3.289999961853028,31.01000022888184,131.72999572753906,,167.3811798095703,37.08156204223633,70.6952133178711,120.42900848388672
2019-02-27,,,168.7511444091797,136.00999450683594,300.4891662597656,41.18610382080078,54.8050537109375,24.1075382232666,49.5099983215332,56.25374603271485,24.76000022888184,11.521864891052246,43.08000183105469,103.30510711669922,111.37000274658205,28.63999938964844,27.030000686645508,31.959999084472656,29.71999931335449,48.51902770996094,,,85.05000305175781,,,103.99012756347656,18.981000900268555,23.22087287902832,52.970001220703125,14.029999732971191,,16.790000915527344,51.89036560058594,26.01000022888184,,,,22.23053741455078,29.018638610839844,,138.43069458007812,55.45636367797852,29.48574447631836,,,3.2909998893737797,30.40999984741211,133.4499969482422,,167.53836059570312,36.486061096191406,70.73416900634766,120.90961456298828
2019-02-28,,,168.48818969726562,135.3300018310547,295.2465515136719,41.531044006347656,54.19170379638672,24.414695739746094,49.02000045776367,55.2271842956543,24.6200008392334,11.601021766662598,43.220001220703125,103.44236755371094,110.0,28.899999618530277,27.25,32.5099983215332,29.56999969482422,48.23350524902344,,,84.69000244140625,,,104.0297622680664,18.979999542236328,23.25749969482422,51.20000076293945,14.34000015258789,,16.600000381469727,52.12980270385742,26.38999938964844,,,,22.017017364501957,29.009212493896484,,137.82443237304688,54.94141387939453,29.821016311645508,,,3.0299999713897705,30.780000686645508,134.36000061035156,,168.99232482910156,35.332881927490234,70.02332305908203,122.90074920654295
2019-03-01,,,169.06280517578125,137.75,302.0697631835937,42.22092819213867,54.61708450317383,24.54500961303711,49.380001068115234,55.2271842956543,25.239999771118164,11.407525062561035,43.91999816894531,103.97183990478516,111.0199966430664,29.07999992370605,27.51000022888184,32.22999954223633,29.450000762939453,49.7398796081543,,,86.38999938964844,,,104.485595703125,18.95599937438965,27.02081871032715,52.02999877929688,14.359999656677246,,17.079999923706055,52.723594665527344,27.450000762939453,,,,22.30733108520508,28.773515701293945,,141.25660705566406,57.30820846557617,30.364696502685547,,,3.296999931335449,30.6200008392334,136.72000122070312,,169.52279663085938,35.49356842041016,71.16263580322266,124.215087890625
2019-03-04,,,167.8940887451172,136.0800018310547,287.2548828125,41.18610382080078,54.65665817260742,24.4798526763916,47.68000030517578,54.65467071533203,25.34000015258789,10.686306953430176,43.709999084472656,102.8736801147461,111.04000091552734,28.780000686645508,27.1200008392334,33.470001220703125,29.739999771118164,48.3122673034668,,,85.55000305175781,,,103.8216552734375,18.96999931335449,25.40011978149414,52.06999969482422,15.029999732971191,,17.280000686645508,53.02050018310547,28.07999992370605,,,,22.48526763916016,28.84894180297852,,140.8556671142578,55.00082778930664,30.147226333618164,,,3.200000047683716,30.5,135.50999450683594,,170.00418090820312,36.21194839477539,72.53562927246094,120.45842742919922
